author;publication_count;latest_year;main_affiliation;topics;profile_text
Rafael Resende Assis Silva;1;2025;Brazilian Agricultural Research Corporation;starch-based materials;Rafael Resende Assis Silva is a researcher affiliated with Brazilian Agricultural Research Corporation. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
M.K. Marichelvam;1;2019;;starch-based materials;M.K. Marichelvam is a researcher affiliated with unknown affiliation. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Mohammad Jawaid;1;2019;Universiti Putra Malaysia;starch-based materials;Mohammad Jawaid is a researcher affiliated with Universiti Putra Malaysia. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Mohammad Asim;1;2019;Universiti Putra Malaysia;starch-based materials;Mohammad Asim is a researcher affiliated with Universiti Putra Malaysia. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Elizabeth Bianchini Schlindweinn;1;2022;Universidade Federal de Santa Catarina;starch-based materials;Elizabeth Bianchini Schlindweinn is a researcher affiliated with Universidade Federal de Santa Catarina. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Wilson Daniel Caicedo Chacon;1;2022;Universidade Federal de Santa Catarina;starch-based materials;Wilson Daniel Caicedo Chacon is a researcher affiliated with Universidade Federal de Santa Catarina. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Betina Luiza Koop;1;2022;Universidade Federal de Santa Catarina;starch-based materials;Betina Luiza Koop is a researcher affiliated with Universidade Federal de Santa Catarina. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Jéssica de Matos Fonseca;1;2022;Universidade Federal de Santa Catarina;starch-based materials;Jéssica de Matos Fonseca is a researcher affiliated with Universidade Federal de Santa Catarina. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Alcilene Rodrigues Monteiro;1;2022;Universidade Federal de Santa Catarina;starch-based materials;Alcilene Rodrigues Monteiro is a researcher affiliated with Universidade Federal de Santa Catarina. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Germán Ayala Valencia;1;2022;Universidade Federal de Santa Catarina;starch-based materials;Germán Ayala Valencia is a researcher affiliated with Universidade Federal de Santa Catarina. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
